edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1,1.05,1,0.95
0.9999999,0.95,1.1,1.05,0.95
1.05,1,1.05,0.9999999,0.9
1.05,1,1.05,0.9999999,0.9
1.1,1,1.1,0.9499999,0.85
1.15,1,1.15,0.9499999,0.8
1.2,1,1.2,0.8999999,0.8
1.25,1,1.25,0.8999999,0.7499999
1.3,1,1.3,0.8999999,0.6999999
1.35,1.05,1.35,0.8499999,0.6999999
1.35,1.1,1.35,0.7999999,0.7499999
1.4,1.1,1.4,0.7499999,0.6999999
1.4,1.1,1.4,0.7999999,0.6999999
1.4,1.1,1.4,0.7499999,0.6499999
1.45,1.1,1.45,0.7499999,0.5999999
1.45,1.15,1.45,0.6999999,0.6499999
1.5,1.2,1.5,0.6999999,0.6499999
1.549999,1.2,1.549999,0.6999999,0.6499999
1.599999,1.2,1.599999,0.6999999,0.5999999
1.649999,1.25,1.549999,0.7499999,0.5499999

