option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
alt2,0.5842386,0.6848442,0.6134185,0.7222021,0.6461207,0.2546079,17.91005
alt2,0.4962589,0.3400203,0.4221391,0.7380998,0.6677161,0.3133191,13.39274
alt2,0.4721115,0.2774286,0.4729565,0.7032207,0.5924072,0.3145442,14.70711
alt2,0.6081222,0.6515545,0.5931798,0.6747316,0.3862515,0.7348937,15.97099
alt2,0.6047159,0.6913881,0.542035,0.6768791,0.4087989,0.7044783,18.68372
alt2,0.6325662,0.7838407,0.7125541,0.7210497,0.68124,0.2641468,24.98492
alt2,0.596277,0.5756289,0.488043,0.6843325,0.3681141,0.8652666,26.24856
alt2,0.4998663,0.3572039,0.3655658,0.7054559,0.715694,0.3554119,27.2424
alt2,0.554006,0.5404958,0.5804303,0.7272741,0.7761227,0.1457072,28.3376
alt2,0.6210036,0.6364058,0.5170786,0.7281457,0.385227,0.8381611,34.0669
alt2,0.4814979,0.2517944,0.4094483,0.6717857,0.7414817,0.3329793,35.6672
alt2,0.6268829,0.7297494,0.6563522,0.7139162,0.6900027,0.3443935,37.45333
alt2,0.5545532,0.7463641,0.6163189,0.7180619,0.4864193,0.2056017,41.68247
alt2,0.5992007,0.5566459,0.6270936,0.7020006,0.3664877,0.7437755,45.18656
alt2,0.5402419,0.4095856,0.5442479,0.7233945,0.6842141,0.3397673,46.28129
alt2,0.5365137,0.4069149,0.5102659,0.7077605,0.6735502,0.3840773,47.64606
alt2,0.4926749,0.2482732,0.5540107,0.6728599,0.6450182,0.3432124,63.96132
alt2,0.5049995,0.3866839,0.5448949,0.7344762,0.5363293,0.3226131,50.03908
alt2,0.6201325,0.8727079,0.6278538,0.684999,0.6022999,0.3128018,67.65173

