edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1.05,1,0.95,1.05
1.1,1.1,1,0.9,1.1
1.15,1.15,1.05,0.85,1.15
1.2,1.2,1.1,0.8,1.2
1.2,1.2,1.15,0.85,1.2
1.25,1.25,1.2,0.8,1.25
1.3,1.3,1.2,0.7499999,1.3
1.35,1.35,1.25,0.6999999,1.35
1.4,1.4,1.2,0.6499999,1.4
1.4,1.4,1.25,0.6499999,1.4
1.45,1.45,1.3,0.6499999,1.45
1.45,1.45,1.35,0.6499999,1.45
1.5,1.5,1.4,0.5999999,1.5
1.549999,1.549999,1.35,0.5999999,1.549999
1.599999,1.599999,1.4,0.5999999,1.599999
1.649999,1.649999,1.45,0.5499999,1.649999
1.699999,1.699999,1.45,0.5499999,1.699999
1.749999,1.749999,1.45,0.4999999,1.749999
1.799999,1.799999,1.5,0.4999999,1.799999
1.849999,1.849999,1.549999,0.4499999,1.849999

