edge crossing weight,node overlap weight,edge crossing angle weight,angular resolution weight,edge length weight
1.05,1,0.95,1,0.95
1.1,1.05,0.9,0.95,0.9
1.15,1.1,0.9,0.95,0.85
1.2,1.1,0.95,0.9,0.8
1.25,1.15,0.95,0.9,0.7499999
1.3,1.2,1,0.85,0.6999999
1.35,1.25,1.05,0.9,0.6499999
1.4,1.3,1.05,0.9,0.5999999
1.45,1.35,1.1,0.95,0.5499999
1.45,1.35,1.1,0.95,0.5499999
1.5,1.4,1.15,0.95,0.4999999
1.549999,1.45,1.15,0.95,0.4499999
1.599999,1.45,1.15,1,0.3999999
1.599999,1.45,1.15,1,0.3499998
1.649999,1.5,1.15,1,0.2999998
1.699999,1.549999,1.15,1,0.2999998
1.749999,1.599999,1.2,1.05,0.2499998
1.799999,1.649999,1.25,0.9999999,0.1999998
1.799999,1.649999,1.25,1.05,0.2499998
1.849999,1.699999,1.3,0.9999999,0.2499998

