option,overallGrade,edgeCrossGrade,nodeOverlapGrade,edgeCrossAngleGrade,angularResolutionGrade,edgeLengthGrade,passedTime
chosenOption,0.6399404,0.8169374,0.6139723,0.6883406,0.6799089,0.4005428,2.144961
chosenOption,0.6535408,0.8888369,0.6348112,0.6864781,0.6676099,0.3899677,3.613061
chosenOption,0.6475181,0.9026995,0.6400563,0.6514087,0.6812462,0.3621799,2.141318
chosenOption,0.6413141,0.7913603,0.6469461,0.6730543,0.4763174,0.6188924,1.754346
chosenOption,0.6216807,0.9317707,0.6924849,0.6580051,0.5638484,0.2622943,1.229223
chosenOption,0.6156945,0.8358965,0.5944461,0.6622285,0.4420459,0.5438557,1.687966
chosenOption,0.6688561,0.9055448,0.6877534,0.6220048,0.4145501,0.7144277,3.103214
chosenOption,0.6544998,0.9184396,0.6256624,0.6154177,0.3412378,0.7717415,2.595233
chosenOption,0.6507758,0.8623691,0.6828321,0.618975,0.3670438,0.7226591,1.297184
chosenOption,0.6783825,0.9269578,0.7002413,0.5834153,0.344769,0.8365293,2.140709
chosenOption,0.670725,0.9238728,0.7169051,0.5767651,0.2764293,0.8596527,2.015909
chosenOption,0.7052004,0.9916436,0.7168458,0.5915276,0.3121729,0.9138122,2.998604
chosenOption,0.6740591,0.9506774,0.6315032,0.5319876,0.2474111,1.008716,3.090789
chosenOption,0.691371,0.9502885,0.6955389,0.5087176,0.2632128,1.039097,1.837743
chosenOption,0.6845701,0.9383733,0.70453,0.4959536,0.2094658,1.074528,1.872937
chosenOption,0.6327195,1.093582,0.6892633,0.4616088,0.3188015,0.6003418,2.800689
chosenOption,0.6125779,1.080638,0.7144369,0.47432,0.2223939,0.5711008,1.770362
chosenOption,0.6279107,1.136109,0.7029124,0.4381129,0.316969,0.5454497,3.218914
chosenOption,0.6960018,1.057837,0.7181368,0.4454883,0.2191253,1.039422,1.836182
chosenOption,0.6899282,1.047726,0.7253723,0.4296772,0.1720565,1.074808,1.601996

